Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,VA,2018,12,Female,17,Right-Handed,154.9,22,60,1,Car,5,0.455,65,Walking/Hiking,540,465,439,626,781,1000,22,Same length,67,60,Index finger,June,Fall,No,No,Rice/Noodle dishes,Water,Art,5,5,4,Yes - broadband connection,Cell phone,120,130,10,10,10,8,0,0,8,4,2,3,20,5,Some,Graduate degree,Pop,Invisibility,Happy,Friend,Health
USA,GA,2018,12,Female,17,Left-Handed,187.9,26.5,185.5,1,Car,15,0.451,39,Other,738,406,203,203,679,800,26,Left foot,95,97,Ring finger,July,Summer,Yes,No,Rice/Noodle dishes,Water,Other,7,10,4,Yes - broadband connection,Text messaging,30,35,10,1,5,5,0,4,0,6,10,3,0,1,A lot,Graduate degree,Other,Telepathy,Happy,Friend,"Arts, culture, sports"
USA,MI,2018,12,Female,17,Right-Handed,170.1,27.17,177.8,1,Car,12,0.712,53,Walking/Hiking,8,10,10,10,8,8,170.1,Same length,8.89,7.5,Index finger,August,Fall,No,No,Rice/Noodle dishes,Water,Social studies,6,9,4,Yes - other,Text messaging,3,20,20,3,3,3,4,0,20,20,20,10,20,2,Very little,Undergraduate degree,Rhythm and blues (R&B),Telepathy,Happy,Community leader or elder,Environment
USA,OH,2018,12,Male,17,Right-Handed,212,25,10,1,Bus,60,0.54,51,Football (American),513,636,941,989,1000,1000,NA,NA,11,8,NA,March,Winter,No,No,Pizza/Pasta,Water,English,5,8,6,Yes - other,In person,200,300,12,0,8,3,12,2,8,24,24,6,40,8,A lot,Less than high school,Rap/Hip hop,Freeze time,Rich,Sports person,Education/Youth development
USA,NC,2018,12,Male,16,Right-Handed,173,25,171,1,Walk,5,0.409,42,Baseball/Softball,800,750,500,400,700,700,25,Same length,71,74,Ring finger,September,Summer,Yes,No,Meat,Water,Mathematics and statistics,6.5,9,2,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",10,15,18,2,10,2,8,2,6,4,6,NA,0,2,Some,Graduate degree,Other,Super strength,Happy,Doctor or nurse,"Arts, culture, sports"
USA,NC,2018,12,Male,17,Right-Handed,173,NA,72,1,Car,17,0.65,51,Tennis,483,392,735,538,826,926,NA,Same length,NA,NA,Ring finger,May,Spring,Yes,No,Pizza/Pasta,Water,Social studies,6,9,3,Yes - broadband connection,Text messaging,50,100,10,0,5,15,5,2,9,3,10,12,10,2,Some,Undergraduate degree,Rock and roll,Telepathy,Happy,Religious figure,International aid
USA,SC,2018,12,Female,17,Right-Handed,157,15,157,1,Bus,45,0.542,70,Other,1000,1000,700,2,1000,1000,15,Same length,152.4,190.5,Ring finger,April,Fall,No,No,Pizza/Pasta,Water,English,7,9,7,Yes - broadband connection,Internet chat or instant messaging,6,10,0,0,5,18,0,4,24,7,64,10,0,0,Some,Some college,Other,Telepathy,Healthy,Religious figure,Health
USA,ID,2018,12,Male,23,Right-Handed,72.5,27,180,2,Walk,10,0.307,53,Soccer,209,128,123,305,684,856,27,Same length,73,75,Ring finger,April,Spring,Yes,No,Pizza/Pasta,Water,Other,7,7.5,6,Yes - broadband connection,In person,50,100,3,2,22.5,0,0,0,1,2,30,0,15,0.5,A lot,Graduate degree,Other,Fly,Happy,Religious figure,International aid
USA,TX,2018,12,Female,17,Right-Handed,167.6,24.5,83,2,Car,10,0.496,36,Athletics,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,GA,2018,12,Female,17,Right-Handed,170,28,165,1,Car,15,0.38,40,Lacrosse,733,733,487,497,647,652,24,Same length,70,80,Ring finger,March,Fall,Yes,No,Pizza/Pasta,Water,Other,7,12,5,Yes - broadband connection,Text messaging,100,100,36,5,2,15,3,1,63,55,1,10,0,0,Some,Graduate degree,Country,Invisibility,Happy,Relative,Education/Youth development
USA,NC,2018,12,Male,18,Right-Handed,1.727,25.1,1.67,1,Car,5,0.78,48,Soccer,500,300,330,200,600,700,25.1,Same length,6.6,7,Ring finger,September,Winter,Yes,No,Meat,Soft drink (caffeinated),Computers and technology,6,10,4,Yes - other,Text messaging,60,50,20,5,4,7,24,28,15,17,30,4,10,6,Some,Graduate degree,Other,Fly,Rich,Friend,"Arts, culture, sports"
USA,KS,2018,12,Female,16,Right-Handed,175.3,22.86,150,1,Car,15,0.348,31,Soccer,118,786,369,668,1000,1000,22.86,Same length,75,80,Ring finger,August,Summer,No,No,Seafood,Water,Mathematics and statistics,7,8,6,Yes - other,In person,6,15,5,1,8,3,8,0,8,8,0,1,6,0,A lot,Graduate degree,Rap/Hip hop,Fly,Rich,Sports person,Health
USA,KY,2018,12,Female,17,Ambidextrous,152,21,151,1,Car,35,0.519,66,Walking/Hiking,1000,900,1000,900,200,500,20,Right foot,70.5,70.5,Same length,February,Fall,Yes,No,Pizza/Pasta,Water,Science,7,9,3,Yes - other,Text messaging,17,15,6,1,6,30,5,0,12,20,4,15,14,3,Some,Graduate degree,Rap/Hip hop,Super strength,Happy,Relative,Health
USA,CT,2018,12,Female,15,Left-Handed,147,21,149,2,Bus,20,0.811,44,Other,900,800,800,1000,40,10,22,Left foot,71,71,Same length,September,Spring,No,No,Pizza/Pasta,Water,Art,7,11,4,Yes - other,Text messaging,35,60,35,1,25,51,0,0,15,5,3,3,0,3,A lot,Graduate degree,Pop,Invisibility,Happy,Friend,"Wildlife, animals"
USA,NY,2018,12,Male,18,Right-Handed,180,28,188,3,Rail (Train/Tram/Subway),90,0.297,33,Other,50,5,5,70,100,100,28,Same length,100,105,Ring finger,January,Summer,No,No,No favorite,Water,Science,5.5,10,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",4,4,20,1,5,3,0,30,10,0,10,0,10,2,Very little,Other,Rap/Hip hop,Telepathy,Rich,Politician,International aid
USA,WI,2018,12,Female,18,Right-Handed,175,26,175,1,Car,8,0.785,75,Running/Jogging,1000,800,700,900,700,1000,25.5,Right foot,80,65,Index finger,August,Fall,Yes,Yes,Pizza/Pasta,Water,Science,7.5,6,3,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",10,15,39,1,10,10,4,0,10,1,100,0,9,4,A lot,Other,Rap/Hip hop,Telepathy,Happy,Relative,"Wildlife, animals"
USA,PA,2018,12,Male,18,Right-Handed,185,27,182,2,Car,20,0.06,64,Swimming,500,500,750,750,250,500,27,Same length,NA,NA,Index finger,March,Summer,No,No,Meat,Water,Mathematics and statistics,5,5,5,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",50,75,8,1,1,8,18,0,2,1,1,1,12,2,Very little,Graduate degree,Pop,Freeze time,Rich,Relative,Health
USA,OK,2018,12,Male,17,Right-Handed,192,27,180,1,Car,15,NA,0.304,Football (American),600,700,0,600,1000,1000,27,Same length,70,87,Ring finger,October,Winter,No,No,Desserts,Water,Science,8,9,4,Yes - broadband connection,Text messaging,10,10,5,0,25,5,10,14,7,4,14,7,7,7,Very little,Graduate degree,Rap/Hip hop,Freeze time,Rich,Business person,Health
USA,MS,2018,12,Male,17,Right-Handed,183,27,178,1,Car,8,0.413,84,Other,NA,NA,NA,NA,NA,NA,27,Same length,85,90,Ring finger,January,Winter,Yes,No,Meat,Water,Mathematics and statistics,8,10,5,Yes - other,Cell phone,40,75,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USA,CA,2018,12,Male,16,Right-Handed,170,10,165,2,Car,45,0.523,81,Cycling,1000,882,652,626,1000,1000,10,Right foot,90,90,Same length,April,Winter,No,No,Rice/Noodle dishes,Water,Other,6,9,4,Yes - broadband connection,In person,0,2,0,0,2,0,0,0,4,0,10,0,0,0,Some,Graduate degree,Classical,Freeze time,Happy,Musician or singer,Health
USA,RI,2018,12,Female,17,Right-Handed,165,24,160,2,Car,15,0.42,43,Running/Jogging,802,567,701,508,791,984,24,Same length,9,9,Ring finger,December,Fall,No,No,No favorite,Water,Mathematics and statistics,6,8,5,Yes - broadband connection,Text messaging,11,27,48,11,10,48,5,1,48,20,60,1,0,10,Some,Other,Rap/Hip hop,Telepathy,Rich,Friend,International aid
USA,MA,2018,12,Female,18,Right-Handed,165,26,165,1,Bus,10,0.406,40,Dancing,1000,1000,1000,1000,500,500,26,Same length,85,80,Index finger,October,Spring,No,No,Poultry,NA,NA,8,12,5,Yes - broadband connection,Text messaging,100,100,3,1,4,4,2,5,7,5,9,6,18,4,Some,Some college,Rap/Hip hop,Freeze time,Healthy,Relative,International aid
USA,WI,2018,12,Female,17,Right-Handed,165,23,166,1,Car,3,0.34,30,Skateboarding/Rollerblading,2,800,500,500,200,1000,23,Same length,7,7.5,Ring finger,August,Fall,Yes,Yes,Fruit,Water,Science,4,5,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",100,100,15,0,12,0,0,7,6,3,0,0,20,5,A lot,Graduate degree,Rock and roll,Telepathy,Happy,Musician or singer,Health
